REEF_ID,REEF_NAME,SECTOR,SHELF,LATITUDE,LONGITUDE,in_marine_protected_area,capad_name,capad_iucn,capad_type,capad_match_count
13040S,13040S,PC,O,-13.266667,143.941667,True,Great Barrier Reef,II,Marine Park,1
13041S,CELEBRATION REEF,PC,M,-13.275,143.691667,True,Great Barrier Reef,VI,Marine Park,2
13056S,SAND BANK NO 8 REEF,PC,O,-13.358333,143.958333,True,Great Barrier Reef,II,Marine Park,2
13060S,BLANCHARD REEF,PC,M,-13.416667,143.75,True,Great Barrier Reef,VI,Marine Park,2
13063S,13063S,PC,M,-13.416667,143.816667,True,Great Barrier Reef,VI,Marine Park,1
13072S,MORRIS ISLAND REEF,PC,M,-13.483333,143.733333,True,Great Barrier Reef,VI,Marine Park,2
13076S,OGILVIE REEF,PC,M,-13.541667,143.791667,True,Great Barrier Reef,II,Marine Park,1
13081S,FIFE REEF,PC,I,-13.658333,143.725,True,Great Barrier Reef Coast,VI,Marine Park,2
13087S,MAGPIE REEF,PC,M,-13.775,143.833333,True,Great Barrier Reef,VI,Marine Park,1
13093A,13093A,PC,M,-13.758333,143.991667,True,Great Barrier Reef,VI,Marine Park,1
13107S,PELICAN ISLAND REEF(13107),PC,I,-13.916667,143.841667,True,Great Barrier Reef Coast,VI,Marine Park,2
13108S,HEDGE REEF,PC,M,-13.908333,143.958333,True,Great Barrier Reef,II,Marine Park,1
13118A,CREECH REEF (NORTH),PC,O,-13.625,144.108333,True,Great Barrier Reef,VI,Marine Park,2
13121S,13121S,PC,O,-13.783333,144.266667,True,Great Barrier Reef,VI,Marine Park,2
13124S,13124S,PC,M,-13.866667,144.091667,True,Great Barrier Reef,VI,Marine Park,1
13127S,RODDA REEF,PC,O,-13.925,144.366667,True,Great Barrier Reef,VI,Marine Park,1
13130S,DAVIE REEF,PC,O,-13.975,144.458333,True,Great Barrier Reef,VI,Marine Park,2
13133S,TYDEMAN REEF,PC,O,-13.983333,144.516667,True,Great Barrier Reef,VI,Marine Park,2
14003S,GRUB REEF(14003),PC,M,-14.008333,143.991667,True,Great Barrier Reef,II,Marine Park,2
14016S,CORBETT REEF,PC,M,-14.0,144.108333,True,Great Barrier Reef,II,Marine Park,1
14017S,CLACK REEF,PC,I,-14.066667,144.241667,True,Great Barrier Reef,II,Marine Park,2
14045S,SAND BANK NO 1 REEF,PC,O,-14.191667,144.916667,True,Great Barrier Reef,II,Marine Park,2
14054S,STAPLETON REEF,CL,M,-14.325,144.858333,True,Great Barrier Reef Coast,II,Marine Park,2
14056S,14056S,CL,M,-14.325,144.958333,True,Great Barrier Reef,VI,Marine Park,2
14061S,SWITZER REEF,CL,M,-14.358333,144.758333,True,Great Barrier Reef,II,Marine Park,2
14064S,INGRAM-BEANLEY REEF,CL,M,-14.425,144.891667,True,Great Barrier Reef,VI,Marine Park,2
14075S,14075S,CL,O,-14.283333,145.175,True,Great Barrier Reef,VI,Marine Park,1
14085S,HILDER REEF,CL,O,-14.441667,145.408333,True,Great Barrier Reef,Ia,Marine Park,1
14094S,HOUGHTON REEF,CL,I,-14.525,144.975,False,,,,0
14097S,COQUET REEF(14097),CL,I,-14.541667,144.991667,True,Great Barrier Reef,IV,Marine Park,1
14109S,FLY REEF,CL,M,-14.5,145.158333,True,Great Barrier Reef,VI,Marine Park,1
